#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
trifasica.1;¿Cuál es la secuencia directa de fases en un sistema trifásico?;  ;[latex]$E_{a}, E_{b}, E_{c}$ [/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.2;¿Cuál es la secuencia inversa de fases en un sistema trifásico?;  ;[latex]$E_{a}, E_{c} , E_{b}$ [/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.3;¿Cuáles son los desfases en secuencia directa en un sistema trifásico equilibrado?;  ;"[latex]$E_{a}=E\angle0,  E_{b}=E\angle-120,  E_{c}=E\angle120 $[/latex]
";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.4;¿Cuáles son los desfases en secuencia inversa en un sistema trifásico equilibrado?;  ;[latex]$E_{a}=E\angle0,  E_{b}=E\angle120,  E_{c}=E\angle-120 $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.5;¿En un sistema trifásico equilibrado en tensiones la relación del módulo y la fase entre la tensión de línea y la de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex] Secuencia directa 30 grados en adelanto y secuencia inversa 30 grados en retraso;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.6;¿En un sistema trifásico equilibrado la relación del módulo y la fase entre la tensión de línea y la de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex] Secuencia directa 30 grados en adelanto y secuencia inversa 30 grados en retraso;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.7;¿En un sistema trifásico desequilibrado la relación del módulo y la fase entre la tensión de línea y la de fase es?;  ;No existe una relación única y tanto la relación del módulo como la de la fase dependen del desequilibrio existente.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.8;¿En qué casos de un sistema trifásico con el receptor en estrella la corriente a través del neutro es cero?;  ;Sistema trifásico a 3 hilos;  ;Sistema trifásico equilibrado a 4 hilos sin impedancia de neutro;Sistema trifásico equilibrado a 4 hilos con impedancia de neutro;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.9;¿En qué casos de un sistema trifásico con el receptor en estrella la tensión de su neutro es cero?;  ;Sistema trifásico equlibrado a 3 hilos;  ;Sistema trifásico a 4 hilos sin impedancia de neutro;Sistema trifásico equilibrado a 4 hilos con impedancia de neutro;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.10;¿Cuál es la condición para poder medir la potencia total activa en un sistema trifásico utilizando la conexión Aron?;  ;[latex]$ \sum i_{n}=0 $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
