#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
intro.3;¿Cuál es la ecuación de la Ley de Ohm?;  ;[latex] $ V=R \cdot I $ [/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 1
intro.4;¿Qué mide un voltímetro;  ;Tensión o diferencia de potencial entre dos puntos;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 1
intro.5;En el circuito de la figura, ¿dónde colocarías un voltímetro para medir la tensión entre el punto A y el B?;"<img src=""intro_vol_amp_rm.png"">";  ;"<img src=""intro_vol_sol_rm.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 1
intro.6;¿Qué mide un amperímetro?;  ;Intensidad que atraviesa una rama;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 1
intro.7;En el circuito de la figura, ¿dónde colocarías un amperímetro para medir la intensidad [latex] $I_1$ [/latex]?;"<img src=""intro_vol_amp_rm.png"">";  ;"<img src=""intro_amp_sol_rm.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 1
intro.8;¿Qué elementos pasivos conoces?;  ;Resistencias, condensadores y bobinas;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 2
intro.9;¿Qué valor tiene la resistencia equivalente del circuito de la figura?;"<img src=""intro_res_eq_par_rm.png"">";  ;"<img src=""intro_res_eq_par_sol_rm.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 2
intro.10;¿Qué valor tiene el condensador equivalente del circuito de la figura?;"<img src=""intro_con_eq_par_rm.png"">";  ;"<img src=""intro_con_eq_par_sol_rm.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 2
intro.11;¿Qué valor tiene la bobina equivalente del circuito de la figura?;"<img src=""intro_bob_eq_par_rm.png"">";  ;"<img src=""intro_bob_eq_par_sol_rm.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 2
intro.12;Si se tienen dos conductores de cobre de la misma longitud y la sección del conductor A es el doble que la del B, ¿qué conductor tiene mayor resistencia?;  ;El conductor B;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 2
intro.13;¿La resistencia eléctrica de un conductor aumenta o disminuye al aumentar la temperatura?;  ;Aumenta;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G589-G620::Tema 2
