#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
intro.1;Unidad de la potencia activa;  ;vatio (en inglés watt), expresado con el símbolo <b>W</b>;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G822::Tema 2
intro.2;Unidad de la potencia reactiva;  ;voltiamperio reactivo (en inglés reactive volt-ampere), expresado con el símbolo <b>var</b>;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#intro;G822::Tema 2
ca.1;¿A qué frecuencia se denomina <b>de marcha industrial</b> en España?;  ;50 Hz;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.2;¿Cuál es el valor eficaz de la siguiente señal de corriente alterna? [latex]$v(t)=325.3 \sin(100\pi t+\frac{\pi}{2})$[/latex];  ;230 V;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.3;¿Cuál es el valor máximo o de pico de la siguiente señal de corriente alterna?  [latex]$v(t)=325.3 \sin(100\pi t+\frac{\pi}{2})$[/latex];  ;325.3 V;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.4;¿Cuál es el valor de la frecuencia de la siguiente señal de corriente alterna? [latex]$v(t)=325.3 \sin(100\pi t+\frac{\pi}{2})$[/latex];  ;50 Hz;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.5;¿Cuál es el valor del periodo de la siguiente señal de corriente alterna? [latex]$v(t)=325.3 \sin(100\pi t+\frac{\pi}{2})$[/latex];  ;0.02 s;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.6;¿Cuál es el desfae de la siguiente señal de corriente alterna? [latex]$v(t)=325.3 \sin(100\pi t+\frac{\pi}{2})$[/latex];  ;[latex]$\frac{\pi}{2}$[/latex] o [latex]$90 ^\circ$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.7;¿Cómo es el desfase entre la tensión y la intensidad en un circuito resistivo puro?;  ;La tensión y la intensidad están en fase;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.8;¿Cómo es el desfase entre la tensión y la intensidad en un circuito capacitivo puro?;  ;La intensidad está adelantada 90 º respecto a la tensión;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.9;¿Cómo es el desfase entre la tensión y la intensidad en un circuito inductivo puro?;  ;La intensidad está restrasada 90 º respecto a la tensión;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.11;Indica el fasor de esta señal de corriente alterna: [latex]$e_1 (t)=230 \sqrt{2} \sin(100t-\frac{\pi}{3})$[/latex];  ;[latex]$\bar{E_1}=230 \angle -60 ^{\circ}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
ca.12;¿Cómo se calcula la potencia activa en un circuito de corriente alterna?;  ;[latex]$P=U \cdot I \cdot \cos \varphi$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G822::Tema 2
